"W1000T","UAA","WineShare","res","x","y"
NA,NA,NA,1000,5680,2820
NA,NA,NA,1000,4954,2765
NA,NA,NA,1000,5305,2764
NA,NA,NA,1000,5306,2764
NA,NA,NA,1000,5307,2764
NA,NA,NA,1000,5308,2764
NA,NA,NA,1000,5309,2764
NA,NA,NA,1000,5305,2763
NA,NA,NA,1000,5306,2763
NA,NA,NA,1000,5307,2763
NA,NA,NA,1000,5308,2763
NA,NA,NA,1000,5309,2763
190,2100,0.09,1000,5305,2762
NA,NA,NA,1000,5307,2762
NA,NA,NA,1000,5308,2762
NA,NA,NA,1000,5306,2761
NA,NA,NA,1000,5307,2761
NA,NA,NA,1000,5308,2761
NA,NA,NA,1000,5307,2760
NA,NA,NA,1000,5308,2760
NA,NA,NA,1000,5705,2744
NA,NA,NA,1000,5619,2718
0,220,0,1000,4359,2709
NA,NA,NA,1000,5720,2685
NA,NA,NA,1000,5640,2644
30,40,0.75,1000,5641,2644
NA,NA,NA,1000,5642,2644
220,400,0.55,1000,5643,2644
NA,NA,NA,1000,5644,2644
130,190,0.68,1000,5640,2643
50,70,0.71,1000,5641,2643
60,70,0.86,1000,5642,2643
50,60,0.83,1000,5643,2643
20,40,0.5,1000,5644,2643
NA,NA,NA,1000,5640,2642
20,30,0.67,1000,5641,2642
100,120,0.83,1000,5642,2642
70,90,0.78,1000,5643,2642
50,70,0.71,1000,5644,2642
110,160,0.69,1000,5641,2641
NA,NA,NA,1000,5642,2641
90,100,0.9,1000,5643,2641
110,130,0.85,1000,5644,2641
NA,NA,NA,1000,5640,2640
NA,NA,NA,1000,5641,2640
60,100,0.6,1000,5642,2640
20,40,0.5,1000,5643,2640
NA,NA,NA,1000,5644,2640
0,110,0,1000,4143,2628
0,300,0,1000,4146,2627
0,290,0,1000,4157,2626
0,400,0,1000,4157,2625
0,240,0,1000,4158,2625
NA,NA,NA,1000,5745,2625
0,300,0,1000,4147,2624
0,190,0,1000,4153,2621
0,0,NA,1000,4123,2618
0,140,0,1000,4134,2618
0,400,0,1000,4123,2617
0,180,0,1000,4135,2617
0,220,0,1000,4134,2616
0,210,0,1000,4133,2614
0,500,0,1000,4139,2611
0,400,0,1000,4128,2610
0,190,0,1000,4139,2610
0,1200,0,1000,4120,2609
0,170,0,1000,4120,2607
0,600,0,1000,4159,2607
0,170,0,1000,4120,2606
0,400,0,1000,4159,2606
0,600,0,1000,4272,2606
0,100,0,1000,4142,2604
0,600,0,1000,4120,2603
0,500,0,1000,4134,2603
10,700,0.01,1000,4800,2602
0,300,0,1000,4802,2601
0,280,0,1000,4133,2600
0,500,0,1000,4135,2600
0,300,0,1000,4804,2600
0,700,0,1000,4115,2599
0,290,0,1000,4133,2599
0,80,0,1000,4141,2599
0,500,0,1000,4833,2599
0,700,0,1000,4835,2599
0,700,0,1000,4838,2599
NA,NA,NA,1000,5631,2599
0,220,0,1000,4133,2598
10,600,0.02,1000,4831,2598
0,500,0,1000,4123,2597
0,400,0,1000,4125,2597
0,300,0,1000,4820,2597
0,230,0,1000,4823,2597
0,220,0,1000,4824,2597
0,400,0,1000,4834,2597
20,1000,0.02,1000,5633,2597
0,300,0,1000,4124,2596
0,140,0,1000,4821,2596
NA,NA,NA,1000,4830,2596
10,400,0.03,1000,4836,2596
0,300,0,1000,4838,2596
0,160,0,1000,4830,2595
NA,NA,NA,1000,5630,2595
NA,NA,NA,1000,5634,2595
NA,NA,NA,1000,5718,2595
10,700,0.01,1000,4833,2594
0,240,0,1000,4834,2594
0,240,0,1000,4111,2593
0,80,0,1000,4816,2593
10,400,0.03,1000,4817,2593
10,240,0.04,1000,4819,2593
10,270,0.04,1000,4831,2593
0,500,0,1000,4116,2592
10,140,0.07,1000,4818,2592
0,250,0,1000,4111,2591
NA,NA,NA,1000,4818,2591
0,170,0,1000,4833,2591
0,50,0,1000,4834,2591
0,300,0,1000,4111,2590
10,1300,0.01,1000,4847,2590
0,1200,0,1000,4857,2588
10,1200,0.01,1000,4859,2585
NA,NA,NA,1000,4821,2584
10,1400,0.01,1000,4853,2583
0,90,0,1000,4798,2582
0,700,0,1000,4851,2581
0,240,0,1000,4155,2580
0,100,0,1000,4795,2580
0,90,0,1000,4797,2580
NA,NA,NA,1000,4413,2579
20,30,0.67,1000,4414,2579
0,80,0,1000,4781,2579
0,30,0,1000,4782,2579
10,20,0.5,1000,4413,2578
50,100,0.5,1000,4414,2578
0,100,0,1000,4783,2578
40,100,0.4,1000,4413,2577
60,110,0.55,1000,4414,2577
NA,NA,NA,1000,4869,2577
NA,NA,NA,1000,4872,2577
NA,NA,NA,1000,4413,2576
20,160,0.12,1000,4414,2576
NA,NA,NA,1000,4113,2575
NA,NA,NA,1000,4411,2575
100,260,0.38,1000,4414,2575
10,300,0.03,1000,4782,2575
20,2500,0.01,1000,4862,2575
10,2000,0,1000,4878,2575
0,30,0,1000,4781,2573
0,90,0,1000,4783,2573
0,40,0,1000,4784,2573
40,2600,0.02,1000,4867,2573
0,50,0,1000,4781,2572
10,900,0.01,1000,4873,2572
0,70,0,1000,4780,2571
10,130,0.08,1000,4782,2571
0,40,0,1000,4783,2571
NA,NA,NA,1000,4103,2570
0,30,0,1000,4784,2570
0,200,0,1000,4862,2570
NA,NA,NA,1000,4431,2569
0,150,0,1000,4831,2569
0,150,0,1000,4811,2568
0,150,0,1000,4873,2568
0,260,0,1000,4814,2567
0,160,0,1000,4831,2567
20,1000,0.02,1000,4876,2567
NA,NA,NA,1000,4812,2566
0,170,0,1000,4830,2566
0,300,0,1000,4879,2566
10,1400,0.01,1000,4833,2565
10,900,0.01,1000,4872,2565
50,60,0.83,1000,4416,2564
20,30,0.67,1000,4417,2564
20,40,0.5,1000,4418,2564
0,700,0,1000,4878,2564
120,190,0.63,1000,4415,2563
50,60,0.83,1000,4416,2563
0,50,0,1000,4794,2563
10,190,0.05,1000,4798,2563
30,30,1,1000,4415,2562
0,10,0,1000,4417,2562
0,170,0,1000,4790,2562
10,100,0.1,1000,4792,2562
10,600,0.02,1000,4876,2562
NA,NA,NA,1000,4415,2561
NA,NA,NA,1000,4416,2561
0,100,0,1000,4791,2561
10,80,0.12,1000,4796,2561
10,250,0.04,1000,4870,2561
0,0,NA,1000,4418,2560
10,800,0.01,1000,4873,2560
10,400,0.03,1000,4783,2559
NA,NA,NA,1000,5801,2559
20,70,0.29,1000,4799,2558
0,70,0,1000,4781,2557
0,40,0,1000,4782,2557
0,60,0,1000,4784,2556
10,60,0.17,1000,4797,2556
10,130,0.08,1000,4798,2556
10,20,0.5,1000,4795,2555
0,30,0,1000,4797,2555
0,10,0,1000,5447,2554
0,500,0,1000,5445,2552
10,300,0.03,1000,5447,2552
NA,NA,NA,1000,5447,2551
NA,NA,NA,1000,5447,2550
NA,NA,NA,1000,5448,2550
0,400,0,1000,4819,2544
20,700,0.03,1000,4785,2543
0,300,0,1000,4818,2540
NA,NA,NA,1000,1109,2539
NA,NA,NA,1000,5392,2539
NA,NA,NA,1000,5393,2539
0,60,0,1000,5394,2539
10,700,0.01,1000,5393,2538
0,30,0,1000,5394,2538
NA,NA,NA,1000,5392,2537
0,50,0,1000,5393,2537
0,100,0,1000,5394,2537
0,120,0,1000,5392,2536
NA,NA,NA,1000,5393,2536
NA,NA,NA,1000,5394,2536
NA,NA,NA,1000,1125,2535
10,280,0.04,1000,5391,2535
10,60,0.17,1000,5392,2535
NA,NA,NA,1000,5393,2535
0,40,0,1000,5394,2535
60,110,0.55,1000,4475,2534
190,400,0.48,1000,4476,2534
110,230,0.48,1000,4477,2534
60,120,0.5,1000,4478,2534
200,270,0.74,1000,4479,2534
220,260,0.85,1000,4475,2533
90,110,0.82,1000,4476,2533
150,260,0.58,1000,4477,2533
110,120,0.92,1000,4478,2533
70,80,0.88,1000,4479,2533
40,90,0.44,1000,4475,2532
130,220,0.59,1000,4476,2532
150,150,1,1000,4477,2532
160,220,0.73,1000,4478,2532
NA,NA,NA,1000,4479,2532
10,20,0.5,1000,4476,2531
120,170,0.71,1000,4477,2531
100,130,0.77,1000,4478,2531
290,300,0.97,1000,4479,2531
NA,NA,NA,1000,4475,2530
70,90,0.78,1000,4477,2530
NA,NA,NA,1000,4478,2530
100,160,0.62,1000,4479,2530
0,400,0,1000,4782,2527
NA,NA,NA,1000,4733,2525
0,160,0,1000,4765,2523
NA,NA,NA,1000,5389,2523
60,270,0.22,1000,4762,2522
10,400,0.03,1000,5385,2522
NA,NA,NA,1000,5386,2522
NA,NA,NA,1000,5385,2521
0,600,0,1000,4769,2520
0,120,0,1000,5385,2520
NA,NA,NA,1000,4124,2514
NA,NA,NA,1000,5393,2514
NA,NA,NA,1000,5394,2514
NA,NA,NA,1000,5425,2514
0,90,0,1000,5426,2514
NA,NA,NA,1000,5390,2513
20,500,0.04,1000,5391,2513
NA,NA,NA,1000,5392,2513
NA,NA,NA,1000,5393,2513
20,500,0.04,1000,5394,2513
0,110,0,1000,5425,2513
NA,NA,NA,1000,5426,2513
0,100,0,1000,5427,2513
NA,NA,NA,1000,5391,2512
NA,NA,NA,1000,5392,2512
NA,NA,NA,1000,5394,2512
10,210,0.05,1000,5425,2512
NA,NA,NA,1000,5428,2512
NA,NA,NA,1000,5390,2511
NA,NA,NA,1000,5392,2511
NA,NA,NA,1000,5393,2511
NA,NA,NA,1000,5394,2511
0,90,0,1000,5425,2511
NA,NA,NA,1000,5426,2511
NA,NA,NA,1000,5427,2511
NA,NA,NA,1000,5428,2511
NA,NA,NA,1000,4134,2510
0,90,0,1000,5393,2510
NA,NA,NA,1000,5394,2510
0,20,0,1000,5425,2510
NA,NA,NA,1000,5367,2504
30,1000,0.03,1000,5048,2503
NA,NA,NA,1000,5367,2503
70,800,0.09,1000,5368,2503
NA,NA,NA,1000,5365,2502
NA,NA,NA,1000,5366,2502
NA,NA,NA,1000,5368,2502
NA,NA,NA,1000,5365,2501
NA,NA,NA,1000,5368,2501
30,260,0.12,1000,5369,2501
1200,3000,0.4,1000,5056,2500
NA,NA,NA,1000,5365,2500
NA,NA,NA,1000,5366,2500
NA,NA,NA,1000,5368,2500
70,1700,0.04,1000,5046,2499
0,800,0,1000,4995,2495
0,400,0,1000,4997,2493
0,1900,0,1000,4981,2487
NA,NA,NA,1000,4368,2486
0,1200,0,1000,4983,2486
0,4000,0,1000,4993,2485
0,180,0,1000,4983,2482
0,1700,0,1000,4986,2481
0,50,0,1000,4845,2479
0,230,0,1000,4851,2479
0,1100,0,1000,4857,2479
0,700,0,1000,5033,2478
NA,NA,NA,1000,5300,2478
0,4000,0,1000,5012,2477
40,200,0.2,1000,4624,2474
10,70,0.14,1000,4627,2474
0,110,0,1000,4716,2474
0,4000,0,1000,5024,2474
10,100,0.1,1000,4623,2472
0,20,0,1000,4629,2472
0,2900,0,1000,5029,2472
10,50,0.2,1000,4620,2471
0,50,0,1000,4622,2470
0,20,0,1000,4626,2470
0,1200,0,1000,5016,2469
0,500,0,1000,5037,2469
NA,NA,NA,1000,3434,2468
0,50,0,1000,4633,2468
0,3000,0,1000,5023,2468
30,300,0.1,1000,4630,2467
0,90,0,1000,4632,2465
0,160,0,1000,4626,2463
0,70,0,1000,4629,2463
0,1100,0,1000,5014,2463
0,800,0,1000,5021,2462
0,1500,0,1000,5020,2460
0,1800,0,1000,5028,2460
NA,NA,NA,1000,5274,2459
NA,NA,NA,1000,5275,2459
NA,NA,NA,1000,5276,2459
NA,NA,NA,1000,5277,2459
NA,NA,NA,1000,5279,2459
NA,NA,NA,1000,5422,2459
NA,NA,NA,1000,5276,2458
NA,NA,NA,1000,5277,2458
NA,NA,NA,1000,5278,2458
NA,NA,NA,1000,5279,2458
0,600,0,1000,5417,2458
NA,NA,NA,1000,5279,2457
NA,NA,NA,1000,5423,2457
NA,NA,NA,1000,5279,2456
NA,NA,NA,1000,5423,2456
NA,NA,NA,1000,5424,2456
0,700,0,1000,5279,2455
NA,NA,NA,1000,5309,2455
40,400,0.1,1000,5423,2455
NA,NA,NA,1000,5424,2455
NA,NA,NA,1000,4619,2436
NA,NA,NA,1000,5435,2434
NA,NA,NA,1000,5366,2404
NA,NA,NA,1000,5368,2404
NA,NA,NA,1000,5369,2404
50,1500,0.03,1000,5366,2403
NA,NA,NA,1000,5367,2403
NA,NA,NA,1000,5369,2403
NA,NA,NA,1000,5365,2402
NA,NA,NA,1000,5366,2402
NA,NA,NA,1000,5367,2402
NA,NA,NA,1000,5365,2401
NA,NA,NA,1000,5367,2401
NA,NA,NA,1000,5368,2401
NA,NA,NA,1000,5365,2400
NA,NA,NA,1000,5366,2400
NA,NA,NA,1000,5367,2400
NA,NA,NA,1000,5368,2400
NA,NA,NA,1000,5369,2400
NA,NA,NA,1000,4703,2375
10,170,0.06,1000,4756,2357
20,230,0.09,1000,4759,2357
0,20,0,1000,4765,2357
10,140,0.07,1000,4763,2355
10,110,0.09,1000,4757,2354
20,130,0.15,1000,4754,2353
10,180,0.06,1000,4767,2353
0,160,0,1000,4759,2352
120,800,0.15,1000,4741,2351
10,130,0.08,1000,4754,2350
10,190,0.05,1000,4758,2350
60,60,1,1000,2787,2349
30,40,0.75,1000,2788,2349
10,20,0.5,1000,2789,2349
10,40,0.25,1000,4771,2349
20,20,1,1000,2787,2348
40,40,1,1000,2788,2348
10,10,1,1000,2789,2348
20,140,0.14,1000,4752,2348
NA,NA,NA,1000,2786,2347
NA,NA,NA,1000,2787,2347
20,30,0.67,1000,2788,2347
20,20,1,1000,2789,2347
20,20,1,1000,2786,2346
40,40,1,1000,2787,2346
20,20,1,1000,2788,2346
20,20,1,1000,2789,2346
40,400,0.1,1000,4758,2346
NA,NA,NA,1000,2785,2345
30,30,1,1000,2786,2345
30,30,1,1000,2787,2345
30,40,0.75,1000,2788,2345
20,30,0.67,1000,2789,2345
10,130,0.08,1000,4756,2345
10,200,0.05,1000,4774,2345
20,400,0.05,1000,4754,2344
10,170,0.06,1000,4751,2343
20,100,0.2,1000,4749,2342
20,230,0.09,1000,4756,2342
10,130,0.08,1000,4777,2341
NA,NA,NA,1000,3300,2340
10,210,0.05,1000,4757,2340
10,200,0.05,1000,4780,2338
10,500,0.02,1000,4798,2338
0,130,0,1000,4781,2336
20,600,0.03,1000,4784,2336
0,60,0,1000,4796,2333
50,1100,0.05,1000,4761,2332
30,230,0.13,1000,4780,2332
NA,NA,NA,1000,2783,2330
0,60,0,1000,4775,2330
10,190,0.05,1000,4777,2330
10,130,0.08,1000,4782,2330
0,30,0,1000,4796,2330
0,130,0,1000,4799,2329
10,160,0.06,1000,4764,2328
10,50,0.2,1000,4795,2327
30,140,0.21,1000,4797,2326
0,230,0,1000,4786,2324
0,70,0,1000,4780,2323
10,110,0.09,1000,4792,2323
10,40,0.25,1000,4784,2322
0,30,0,1000,4794,2322
0,50,0,1000,4783,2321
0,50,0,1000,4787,2321
0,10,0,1000,4791,2319
0,50,0,1000,4781,2318
NA,NA,NA,1000,4749,2316
0,40,0,1000,4790,2316
10,80,0.12,1000,4783,2315
10,300,0.03,1000,4786,2315
10,400,0.03,1000,4812,2314
NA,NA,NA,1000,4790,2311
70,700,0.1,1000,4795,2310
0,60,0,1000,4811,2310
NA,NA,NA,1000,4812,2306
NA,NA,NA,1000,4778,2299
10,100,0.1,1000,4805,2299
10,20,0.5,1000,4816,2298
30,180,0.17,1000,4803,2296
10,50,0.2,1000,4807,2296
0,20,0,1000,4811,2294
10,50,0.2,1000,4814,2294
0,30,0,1000,4812,2292
0,60,0,1000,4814,2291
10,90,0.11,1000,4908,2290
30,70,0.43,1000,4901,2288
30,110,0.27,1000,4904,2287
NA,NA,NA,1000,4604,2286
30,50,0.6,1000,4901,2286
10,600,0.02,1000,4604,2285
10,30,0.33,1000,4903,2285
30,70,0.43,1000,4905,2283
30,100,0.3,1000,4908,2280
0,280,0,1000,4869,2272
30,700,0.04,1000,4853,2266
10,1100,0.01,1000,4867,2266
10,60,0.17,1000,4922,2265
80,150,0.53,1000,4863,2264
10,20,0.5,1000,4856,2263
NA,NA,NA,1000,4035,2260
10,30,0.33,1000,4921,2259
70,90,0.78,1000,4926,2259
NA,NA,NA,1000,4313,2258
NA,NA,NA,1000,4855,2257
40,60,0.67,1000,4921,2257
30,60,0.5,1000,4924,2257
300,500,0.6,1000,4928,2257
40,140,0.29,1000,4859,2255
50,110,0.45,1000,4862,2255
50,60,0.83,1000,4929,2255
10,70,0.14,1000,4863,2254
30,220,0.14,1000,4844,2252
30,120,0.25,1000,4868,2251
0,40,0,1000,4874,2251
0,130,0,1000,4878,2251
10,30,0.33,1000,4930,2251
90,140,0.64,1000,4860,2250
20,50,0.4,1000,4862,2250
10,30,0.33,1000,4864,2250
0,30,0,1000,4927,2250
20,20,1,1000,4862,2248
0,40,0,1000,4924,2248
10,70,0.14,1000,4928,2246
NA,NA,NA,1000,4450,2245
NA,NA,NA,1000,3962,2239
NA,NA,NA,1000,4824,2239
20,40,0.5,1000,4915,2239
10,20,0.5,1000,4913,2238
50,60,0.83,1000,4917,2237
90,110,0.82,1000,4921,2236
50,60,0.83,1000,4915,2235
NA,NA,NA,1000,4925,2235
NA,NA,NA,1000,4916,2234
120,130,0.92,1000,4920,2233
80,80,1,1000,4923,2232
NA,NA,NA,1000,4790,2231
NA,NA,NA,1000,3741,2230
30,500,0.06,1000,4868,2230
110,190,0.58,1000,4888,2230
30,110,0.27,1000,4906,2229
30,50,0.6,1000,4933,2229
70,500,0.14,1000,4875,2228
150,300,0.5,1000,4883,2228
20,30,0.67,1000,4931,2227
NA,NA,NA,1000,4635,2226
NA,NA,NA,1000,4867,2226
30,40,0.75,1000,4937,2226
20,30,0.67,1000,4935,2225
40,60,0.67,1000,4946,2223
NA,NA,NA,1000,4364,2220
NA,NA,NA,1000,4442,2219
120,400,0.3,1000,4442,2218
NA,NA,NA,1000,4440,2217
NA,NA,NA,1000,4441,2217
3000,8000,0.38,1000,4442,2217
NA,NA,NA,1000,4441,2216
NA,NA,NA,1000,4442,2216
NA,NA,NA,1000,4443,2216
NA,NA,NA,1000,3750,2215
NA,NA,NA,1000,4441,2215
NA,NA,NA,1000,4443,2215
NA,NA,NA,1000,5554,2211
NA,NA,NA,1000,4640,2210
0,10,0,1000,4879,2209
NA,NA,NA,1000,2764,2204
NA,NA,NA,1000,4999,2199
10,40,0.25,1000,5005,2199
20,50,0.4,1000,5006,2198
10,40,0.25,1000,5008,2197
0,20,0,1000,5005,2195
0,20,0,1000,5007,2194
70,140,0.5,1000,5009,2194
NA,NA,NA,1000,2835,2189
20,30,0.67,1000,2836,2189
50,50,1,1000,2837,2189
90,100,0.9,1000,2838,2189
80,90,0.89,1000,2839,2189
NA,NA,NA,1000,5015,2189
30,30,1,1000,2835,2188
30,30,1,1000,2836,2188
130,140,0.93,1000,2837,2188
100,100,1,1000,2838,2188
60,60,1,1000,2839,2188
50,50,1,1000,2835,2187
70,80,0.88,1000,2836,2187
100,100,1,1000,2837,2187
70,70,1,1000,2838,2187
80,80,1,1000,2839,2187
30,40,0.75,1000,2835,2186
30,40,0.75,1000,2836,2186
10,10,1,1000,2837,2186
70,70,1,1000,2838,2186
80,80,1,1000,2839,2186
NA,NA,NA,1000,5020,2186
50,60,0.83,1000,2835,2185
140,150,0.93,1000,2836,2185
40,50,0.8,1000,2837,2185
70,70,1,1000,2838,2185
90,90,1,1000,2839,2185
50,50,1,1000,2830,2184
60,60,1,1000,2831,2184
130,140,0.93,1000,2832,2184
NA,NA,NA,1000,2833,2184
90,100,0.9,1000,2834,2184
10,30,0.33,1000,2830,2183
60,70,0.86,1000,2831,2183
20,20,1,1000,2832,2183
30,30,1,1000,2833,2183
100,110,0.91,1000,2834,2183
80,100,0.8,1000,2830,2182
100,130,0.77,1000,2831,2182
90,120,0.75,1000,2832,2182
20,20,1,1000,2833,2182
80,80,1,1000,2834,2182
20,20,1,1000,2830,2181
40,70,0.57,1000,2831,2181
30,40,0.75,1000,2832,2181
40,60,0.67,1000,2833,2181
20,30,0.67,1000,2834,2181
NA,NA,NA,1000,2830,2180
NA,NA,NA,1000,2831,2180
NA,NA,NA,1000,2832,2180
10,20,0.5,1000,2833,2180
60,60,1,1000,2834,2180
NA,NA,NA,1000,4660,2170
NA,NA,NA,1000,4471,2168
0,130,0,1000,5470,2166
NA,NA,NA,1000,4670,2160
NA,NA,NA,1000,5685,2152
90,160,0.56,1000,4675,2149
50,90,0.56,1000,4676,2149
70,100,0.7,1000,4677,2149
110,130,0.85,1000,4678,2149
30,40,0.75,1000,4679,2149
100,180,0.56,1000,4675,2148
70,90,0.78,1000,4676,2148
60,80,0.75,1000,4677,2148
140,160,0.88,1000,4678,2148
NA,NA,NA,1000,4679,2148
NA,NA,NA,1000,4675,2147
30,40,0.75,1000,4676,2147
500,700,0.71,1000,4677,2147
220,290,0.76,1000,4678,2147
NA,NA,NA,1000,4675,2146
120,150,0.8,1000,4677,2146
NA,NA,NA,1000,4678,2146
NA,NA,NA,1000,4675,2145
NA,NA,NA,1000,4677,2145
NA,NA,NA,1000,4678,2145
30,40,0.75,1000,4679,2145
NA,NA,NA,1000,5690,2140
NA,NA,NA,1000,4549,2139
NA,NA,NA,1000,4710,2130
NA,NA,NA,1000,5425,2129
NA,NA,NA,1000,4488,2125
NA,NA,NA,1000,4489,2115
NA,NA,NA,1000,2729,2110
NA,NA,NA,1000,2732,2110
NA,NA,NA,1000,5642,2109
NA,NA,NA,1000,4688,2095
0,500,0,1000,4713,2093
NA,NA,NA,1000,4714,2093
0,1000,0,1000,4713,2092
NA,NA,NA,1000,4710,2090
NA,NA,NA,1000,2719,2083
NA,NA,NA,1000,4745,2076
NA,NA,NA,1000,4736,2074
NA,NA,NA,1000,4742,2074
NA,NA,NA,1000,5515,2074
NA,NA,NA,1000,4757,2072
NA,NA,NA,1000,5449,2072
NA,NA,NA,1000,5480,2068
NA,NA,NA,1000,5359,2063
NA,NA,NA,1000,3620,2049
NA,NA,NA,1000,4845,2047
NA,NA,NA,1000,4845,2046
600,900,0.67,1000,4846,2046
4000,6000,0.67,1000,4847,2046
1900,4000,0.48,1000,4848,2046
30,150,0.2,1000,4849,2046
NA,NA,NA,1000,4845,2045
600,1000,0.6,1000,4846,2045
3000,6000,0.5,1000,4847,2045
800,1600,0.5,1000,4848,2045
100,170,0.59,1000,4849,2045
NA,NA,NA,1000,4845,2044
50,100,0.5,1000,4846,2044
500,700,0.71,1000,4847,2044
400,500,0.8,1000,4848,2044
30,50,0.6,1000,4849,2044
NA,NA,NA,1000,4848,2043
NA,NA,NA,1000,4849,2043
NA,NA,NA,1000,4846,2042
NA,NA,NA,1000,4849,2042
NA,NA,NA,1000,4847,2041
NA,NA,NA,1000,4849,2040
0,150,0,1000,4865,2040
400,2200,0.18,1000,4805,2039
NA,NA,NA,1000,4806,2039
NA,NA,NA,1000,4816,2039
NA,NA,NA,1000,4817,2039
NA,NA,NA,1000,4801,2038
80,400,0.2,1000,4805,2038
NA,NA,NA,1000,4807,2038
60,130,0.46,1000,4815,2038
800,2300,0.35,1000,4816,2038
260,1100,0.24,1000,4817,2038
60,150,0.4,1000,4818,2038
NA,NA,NA,1000,4800,2037
NA,NA,NA,1000,4802,2037
NA,NA,NA,1000,4805,2037
600,1700,0.35,1000,4815,2037
2700,12000,0.22,1000,4816,2037
1100,5000,0.22,1000,4817,2037
300,1200,0.25,1000,4818,2037
NA,NA,NA,1000,4831,2037
NA,NA,NA,1000,4815,2036
600,1800,0.33,1000,4816,2036
400,1000,0.4,1000,4817,2036
70,240,0.29,1000,4818,2036
200,5000,0.04,1000,4802,2035
40,1300,0.03,1000,4803,2035
NA,NA,NA,1000,4815,2035
NA,NA,NA,1000,4816,2035
NA,NA,NA,1000,4810,2034
300,600,0.5,1000,4830,2034
1300,3000,0.43,1000,4831,2034
NA,NA,NA,1000,4832,2034
1000,2200,0.45,1000,4830,2033
800,1900,0.42,1000,4831,2033
400,700,0.57,1000,4832,2033
NA,NA,NA,1000,4819,2032
NA,NA,NA,1000,4830,2032
80,300,0.27,1000,4832,2032
NA,NA,NA,1000,4870,2029
NA,NA,NA,1000,4872,2029
NA,NA,NA,1000,4873,2029
NA,NA,NA,1000,4884,2029
NA,NA,NA,1000,4872,2028
NA,NA,NA,1000,4873,2028
40,2400,0.02,1000,4871,2027
90,4000,0.02,1000,4872,2027
0,90,0,1000,4873,2027
NA,NA,NA,1000,4882,2027
NA,NA,NA,1000,4884,2027
60,1600,0.04,1000,4866,2026
10,80,0.12,1000,4867,2026
NA,NA,NA,1000,4868,2026
NA,NA,NA,1000,4869,2026
NA,NA,NA,1000,4870,2026
0,500,0,1000,4871,2026
50,1000,0.05,1000,4872,2026
NA,NA,NA,1000,4873,2026
NA,NA,NA,1000,4874,2026
NA,NA,NA,1000,4880,2026
10,700,0.01,1000,4883,2026
80,1900,0.04,1000,4884,2026
NA,NA,NA,1000,4865,2025
210,1400,0.15,1000,4866,2025
700,6000,0.12,1000,4867,2025
20,300,0.07,1000,4868,2025
NA,NA,NA,1000,4869,2025
NA,NA,NA,1000,4870,2025
NA,NA,NA,1000,4873,2025
NA,NA,NA,1000,4874,2025
0,500,0,1000,4883,2025
120,4000,0.03,1000,4884,2025
NA,NA,NA,1000,4917,2024
NA,NA,NA,1000,4918,2024
110,220,0.5,1000,4917,2023
800,1600,0.5,1000,4918,2023
NA,NA,NA,1000,4919,2023
60,130,0.46,1000,4917,2022
50,80,0.62,1000,4918,2022
NA,NA,NA,1000,4915,2020
1300,2000,0.65,1000,4910,2019
100,130,0.77,1000,4911,2019
NA,NA,NA,1000,4912,2019
20,50,0.4,1000,4911,2018
180,260,0.69,1000,4912,2018
NA,NA,NA,1000,4910,2017
2000,3000,0.67,1000,4911,2017
1100,1900,0.58,1000,4912,2017
NA,NA,NA,1000,4913,2017
400,700,0.57,1000,4911,2016
500,800,0.62,1000,4912,2016
NA,NA,NA,1000,4914,2016
NA,NA,NA,1000,4914,2015
10,190,0.05,1000,4895,2014
80,400,0.2,1000,4905,2011
170,1500,0.11,1000,4905,2010
NA,NA,NA,1000,4906,2010
NA,NA,NA,1000,4894,2008
NA,NA,NA,1000,4810,2007
10,100,0.1,1000,4898,2004
100,900,0.11,1000,4899,2004
NA,NA,NA,1000,4815,2003
10,300,0.03,1000,4898,2003
400,4000,0.1,1000,4899,2003
NA,NA,NA,1000,4899,2002
NA,NA,NA,1000,4899,2001
NA,NA,NA,1000,4835,1999
NA,NA,NA,1000,4788,1998
10,2500,0,1000,4780,1994
0,250,0,1000,4781,1994
NA,NA,NA,1000,4780,1993
NA,NA,NA,1000,4780,1992
NA,NA,NA,1000,4782,1992
NA,NA,NA,1000,4839,1990
NA,NA,NA,1000,4815,1988
NA,NA,NA,1000,4256,1985
NA,NA,NA,1000,4257,1980
NA,NA,NA,1000,4907,1978
NA,NA,NA,1000,4908,1977
NA,NA,NA,1000,4263,1976
NA,NA,NA,1000,4906,1976
NA,NA,NA,1000,4908,1976
20,110,0.18,1000,4908,1975
1200,7000,0.17,1000,4909,1975
0,600,0,1000,4750,1974
NA,NA,NA,1000,4264,1973
40,200,0.2,1000,4895,1968
400,1800,0.22,1000,4895,1967
140,700,0.2,1000,4895,1966
NA,NA,NA,1000,4699,1965
NA,NA,NA,1000,4250,1964
NA,NA,NA,1000,4994,1964
NA,NA,NA,1000,4995,1964
700,1600,0.44,1000,4994,1963
90,1000,0.09,1000,4995,1963
90,280,0.32,1000,4994,1962
140,400,0.35,1000,4995,1962
NA,NA,NA,1000,4934,1961
10,80,0.12,1000,4998,1960
10,30,0.33,1000,4999,1960
20,120,0.17,1000,4960,1959
NA,NA,NA,1000,4961,1959
20,200,0.1,1000,4978,1959
200,1400,0.14,1000,4979,1959
NA,NA,NA,1000,4985,1959
NA,NA,NA,1000,4986,1959
