"W1000T","UAA","WineShare","res","x","y"
0,1100,0,5000,3190,3695
0,900,0,5000,3195,3695
0,1200,0,5000,3240,3695
0,1400,0,5000,3245,3695
0,1000,0,5000,3250,3695
0,600,0,5000,3160,3690
0,400,0,5000,3165,3690
0,500,0,5000,3170,3690
0,210,0,5000,3175,3690
0,800,0,5000,3190,3690
0,1000,0,5000,3195,3690
0,900,0,5000,3240,3690
0,500,0,5000,3245,3690
0,290,0,5000,3250,3690
0,800,0,5000,3160,3685
0,900,0,5000,3165,3685
0,1400,0,5000,3190,3685
0,1700,0,5000,3195,3685
0,700,0,5000,3160,3680
0,700,0,5000,3165,3680
0,1600,0,5000,3190,3680
0,1600,0,5000,3195,3680
0,400,0,5000,3150,3675
0,800,0,5000,3155,3675
0,400,0,5000,3160,3675
0,1300,0,5000,3165,3675
0,800,0,5000,3170,3675
0,1200,0,5000,3175,3675
0,1700,0,5000,3180,3675
0,1800,0,5000,3185,3675
0,1300,0,5000,3190,3675
0,1300,0,5000,3195,3675
0,1500,0,5000,3150,3670
0,1300,0,5000,3155,3670
0,1100,0,5000,3160,3670
0,1600,0,5000,3165,3670
0,1500,0,5000,3170,3670
0,2100,0,5000,3175,3670
0,1600,0,5000,3180,3670
0,1800,0,5000,3185,3670
0,1600,0,5000,3190,3670
0,1200,0,5000,3195,3670
0,1500,0,5000,3140,3665
0,1900,0,5000,3145,3665
0,1700,0,5000,3150,3665
0,1800,0,5000,3155,3665
0,1600,0,5000,3160,3665
0,1900,0,5000,3165,3665
0,1900,0,5000,3180,3665
0,1400,0,5000,3185,3665
0,1500,0,5000,3190,3665
0,2000,0,5000,3195,3665
0,900,0,5000,3140,3660
0,1600,0,5000,3145,3660
0,1500,0,5000,3150,3660
0,1700,0,5000,3155,3660
0,1400,0,5000,3160,3660
0,2000,0,5000,3165,3660
0,1800,0,5000,3180,3660
0,1200,0,5000,3185,3660
0,1300,0,5000,3190,3660
0,2100,0,5000,3195,3660
0,1300,0,5000,3160,3655
0,1400,0,5000,3165,3655
0,1400,0,5000,3160,3650
0,1400,0,5000,3165,3650
0,500,0,5000,3160,3645
0,1500,0,5000,3165,3645
0,900,0,5000,3030,3640
0,1200,0,5000,3035,3640
0,1600,0,5000,3160,3640
0,1500,0,5000,3165,3640
0,1300,0,5000,3030,3635
0,800,0,5000,3035,3635
0,700,0,5000,3150,3635
0,1700,0,5000,3155,3635
0,600,0,5000,3030,3630
0,600,0,5000,3035,3630
0,800,0,5000,3150,3630
0,1400,0,5000,3155,3630
0,400,0,5000,3035,3625
0,1600,0,5000,3080,3625
0,700,0,5000,3085,3625
0,800,0,5000,3095,3625
0,600,0,5000,3100,3625
0,2000,0,5000,3140,3625
0,1300,0,5000,3145,3625
0,1900,0,5000,3150,3625
0,400,0,5000,3155,3625
0,290,0,5000,3030,3620
0,1000,0,5000,3035,3620
0,1700,0,5000,3080,3620
0,400,0,5000,3085,3620
0,500,0,5000,3090,3620
0,2400,0,5000,3095,3620
0,1500,0,5000,3100,3620
0,900,0,5000,3105,3620
0,300,0,5000,3110,3620
0,1000,0,5000,3140,3620
0,1500,0,5000,3145,3620
0,1000,0,5000,3150,3620
0,1400,0,5000,3155,3620
0,60,0,5000,3030,3615
0,800,0,5000,3035,3615
0,1700,0,5000,3080,3615
0,1300,0,5000,3085,3615
0,2000,0,5000,3090,3615
0,2100,0,5000,3095,3615
0,700,0,5000,3120,3615
0,1000,0,5000,3125,3615
0,1100,0,5000,3130,3615
0,1500,0,5000,3135,3615
0,1500,0,5000,3140,3615
0,1900,0,5000,3145,3615
0,1300,0,5000,3150,3615
0,1400,0,5000,3155,3615
0,90,0,5000,3015,3610
0,220,0,5000,3030,3610
0,700,0,5000,3035,3610
0,1800,0,5000,3080,3610
0,1300,0,5000,3085,3610
0,1900,0,5000,3090,3610
0,1300,0,5000,3095,3610
0,900,0,5000,3120,3610
0,1300,0,5000,3125,3610
0,700,0,5000,3130,3610
0,600,0,5000,3135,3610
0,1100,0,5000,3140,3610
0,1600,0,5000,3145,3610
0,1400,0,5000,3150,3610
0,1200,0,5000,3155,3610
0,210,0,5000,3030,3605
0,900,0,5000,3035,3605
0,1700,0,5000,3080,3605
0,1700,0,5000,3085,3605
0,1800,0,5000,3090,3605
0,700,0,5000,3095,3605
0,800,0,5000,3100,3605
0,1700,0,5000,3105,3605
0,600,0,5000,3110,3605
0,1400,0,5000,3115,3605
0,1200,0,5000,3120,3605
0,1200,0,5000,3125,3605
0,1400,0,5000,3130,3605
0,1300,0,5000,3135,3605
0,1600,0,5000,3140,3605
0,1400,0,5000,3145,3605
0,700,0,5000,3150,3605
0,900,0,5000,3155,3605
0,400,0,5000,3030,3600
0,400,0,5000,3035,3600
0,1500,0,5000,3080,3600
0,1000,0,5000,3085,3600
0,600,0,5000,3090,3600
0,700,0,5000,3095,3600
0,1200,0,5000,3100,3600
0,1100,0,5000,3105,3600
0,1800,0,5000,3110,3600
0,2600,0,5000,3115,3600
0,2100,0,5000,3120,3600
0,1700,0,5000,3125,3600
0,2000,0,5000,3130,3600
0,1300,0,5000,3135,3600
0,1200,0,5000,3140,3600
0,1300,0,5000,3145,3600
0,1000,0,5000,3150,3600
0,1300,0,5000,3155,3600
0,150,0,5000,3025,3595
0,160,0,5000,3030,3595
0,90,0,5000,3035,3595
0,900,0,5000,3050,3595
0,1400,0,5000,3055,3595
0,1300,0,5000,3060,3595
0,1300,0,5000,3065,3595
0,1100,0,5000,3070,3595
0,220,0,5000,3075,3595
0,700,0,5000,3080,3595
0,1200,0,5000,3085,3595
0,1200,0,5000,3090,3595
0,1400,0,5000,3095,3595
0,1600,0,5000,3100,3595
0,1800,0,5000,3105,3595
0,2100,0,5000,3120,3595
0,1700,0,5000,3125,3595
0,1800,0,5000,3130,3595
0,1600,0,5000,3135,3595
0,1100,0,5000,3140,3595
0,600,0,5000,3145,3595
0,900,0,5000,3150,3595
0,1100,0,5000,3155,3595
0,1400,0,5000,3160,3595
0,1800,0,5000,3165,3595
0,1900,0,5000,3220,3595
0,2000,0,5000,3225,3595
0,600,0,5000,3020,3590
0,130,0,5000,3025,3590
0,900,0,5000,3050,3590
0,1400,0,5000,3055,3590
0,1100,0,5000,3060,3590
0,600,0,5000,3065,3590
0,900,0,5000,3070,3590
0,1000,0,5000,3075,3590
0,1400,0,5000,3080,3590
0,1400,0,5000,3085,3590
0,1600,0,5000,3090,3590
0,1400,0,5000,3095,3590
0,1200,0,5000,3100,3590
0,1500,0,5000,3105,3590
0,2200,0,5000,3120,3590
0,2400,0,5000,3125,3590
0,2400,0,5000,3130,3590
0,1500,0,5000,3135,3590
0,1500,0,5000,3140,3590
0,1200,0,5000,3145,3590
0,900,0,5000,3150,3590
0,1000,0,5000,3155,3590
0,1000,0,5000,3160,3590
0,700,0,5000,3165,3590
0,400,0,5000,3180,3590
0,2500,0,5000,3220,3590
0,2200,0,5000,3225,3590
0,1700,0,5000,3050,3585
0,1800,0,5000,3055,3585
0,1800,0,5000,3060,3585
0,900,0,5000,3065,3585
0,1700,0,5000,3070,3585
0,1500,0,5000,3075,3585
0,2000,0,5000,3080,3585
0,1900,0,5000,3085,3585
0,1500,0,5000,3090,3585
0,1300,0,5000,3095,3585
0,1300,0,5000,3100,3585
0,1200,0,5000,3105,3585
0,1200,0,5000,3110,3585
0,1300,0,5000,3115,3585
0,1700,0,5000,3120,3585
0,1600,0,5000,3125,3585
0,1400,0,5000,3130,3585
0,800,0,5000,3135,3585
0,1300,0,5000,3140,3585
0,1200,0,5000,3145,3585
0,1000,0,5000,3150,3585
0,1200,0,5000,3155,3585
0,1100,0,5000,3160,3585
0,900,0,5000,3165,3585
0,1200,0,5000,3170,3585
0,1200,0,5000,3175,3585
0,700,0,5000,3180,3585
0,260,0,5000,3185,3585
0,2000,0,5000,3210,3585
0,2500,0,5000,3215,3585
0,1600,0,5000,3220,3585
0,1200,0,5000,3225,3585
0,2000,0,5000,3230,3585
0,400,0,5000,3235,3585
0,1100,0,5000,3050,3580
0,1900,0,5000,3055,3580
0,1500,0,5000,3060,3580
0,1400,0,5000,3065,3580
0,1800,0,5000,3070,3580
0,1500,0,5000,3075,3580
0,1300,0,5000,3080,3580
0,2000,0,5000,3085,3580
0,1700,0,5000,3090,3580
0,1300,0,5000,3095,3580
0,1600,0,5000,3100,3580
0,1100,0,5000,3105,3580
0,1400,0,5000,3110,3580
0,1200,0,5000,3115,3580
0,1200,0,5000,3120,3580
0,1300,0,5000,3125,3580
0,1200,0,5000,3130,3580
0,800,0,5000,3135,3580
0,1400,0,5000,3140,3580
0,1100,0,5000,3145,3580
0,1600,0,5000,3150,3580
0,1500,0,5000,3155,3580
0,1200,0,5000,3160,3580
0,1700,0,5000,3165,3580
0,1600,0,5000,3170,3580
0,1800,0,5000,3175,3580
0,1800,0,5000,3180,3580
0,1600,0,5000,3185,3580
0,2400,0,5000,3210,3580
0,2400,0,5000,3215,3580
0,1900,0,5000,3220,3580
0,2400,0,5000,3225,3580
0,2100,0,5000,3230,3580
0,1000,0,5000,3235,3580
0,800,0,5000,3040,3575
0,1900,0,5000,3045,3575
0,1800,0,5000,3050,3575
0,1900,0,5000,3055,3575
0,1700,0,5000,3060,3575
0,2000,0,5000,3065,3575
0,1600,0,5000,3070,3575
0,1900,0,5000,3075,3575
0,1400,0,5000,3080,3575
0,900,0,5000,3085,3575
0,1500,0,5000,3090,3575
0,1600,0,5000,3095,3575
0,1100,0,5000,3100,3575
0,1400,0,5000,3105,3575
0,1700,0,5000,3110,3575
0,1200,0,5000,3115,3575
0,1100,0,5000,3120,3575
0,1800,0,5000,3125,3575
0,1900,0,5000,3130,3575
0,2000,0,5000,3135,3575
0,2000,0,5000,3140,3575
0,1200,0,5000,3145,3575
0,1900,0,5000,3150,3575
0,1500,0,5000,3155,3575
0,1400,0,5000,3160,3575
0,1400,0,5000,3165,3575
0,1200,0,5000,3170,3575
0,1700,0,5000,3175,3575
0,1600,0,5000,3180,3575
0,1600,0,5000,3185,3575
0,1500,0,5000,3190,3575
0,1600,0,5000,3195,3575
0,1700,0,5000,3200,3575
0,2500,0,5000,3205,3575
0,2300,0,5000,3210,3575
0,2000,0,5000,3215,3575
0,1800,0,5000,3220,3575
0,2100,0,5000,3225,3575
0,2000,0,5000,3230,3575
0,2000,0,5000,3235,3575
0,1400,0,5000,3040,3570
0,2100,0,5000,3045,3570
0,1200,0,5000,3050,3570
0,1400,0,5000,3055,3570
0,900,0,5000,3060,3570
0,1700,0,5000,3065,3570
0,2300,0,5000,3070,3570
0,2100,0,5000,3075,3570
0,1900,0,5000,3080,3570
0,2000,0,5000,3085,3570
0,1600,0,5000,3090,3570
0,2100,0,5000,3095,3570
0,1900,0,5000,3100,3570
0,1000,0,5000,3105,3570
0,1400,0,5000,3110,3570
0,1600,0,5000,3115,3570
0,1600,0,5000,3120,3570
0,1100,0,5000,3125,3570
0,1500,0,5000,3130,3570
0,2000,0,5000,3135,3570
0,1800,0,5000,3140,3570
0,1900,0,5000,3145,3570
0,1600,0,5000,3150,3570
0,1800,0,5000,3155,3570
0,1400,0,5000,3160,3570
0,1500,0,5000,3165,3570
0,1500,0,5000,3170,3570
0,1800,0,5000,3175,3570
0,1600,0,5000,3180,3570
0,1100,0,5000,3185,3570
0,1400,0,5000,3190,3570
0,1800,0,5000,3195,3570
0,2600,0,5000,3200,3570
0,1800,0,5000,3205,3570
0,2000,0,5000,3210,3570
0,1600,0,5000,3215,3570
0,2200,0,5000,3220,3570
0,1800,0,5000,3225,3570
0,2300,0,5000,3230,3570
0,1400,0,5000,3235,3570
0,260,0,5000,3000,3565
0,900,0,5000,3005,3565
0,500,0,5000,3010,3565
0,900,0,5000,3015,3565
0,1000,0,5000,3040,3565
0,900,0,5000,3045,3565
0,700,0,5000,3050,3565
0,1100,0,5000,3055,3565
0,1100,0,5000,3060,3565
0,700,0,5000,3065,3565
0,2100,0,5000,3070,3565
0,1600,0,5000,3075,3565
0,1500,0,5000,3080,3565
0,1700,0,5000,3085,3565
0,1400,0,5000,3090,3565
0,1300,0,5000,3095,3565
0,1600,0,5000,3100,3565
0,900,0,5000,3105,3565
0,800,0,5000,3110,3565
0,1000,0,5000,3115,3565
0,700,0,5000,3120,3565
0,1400,0,5000,3125,3565
0,1200,0,5000,3130,3565
0,2200,0,5000,3135,3565
0,2300,0,5000,3140,3565
0,2100,0,5000,3145,3565
0,2000,0,5000,3160,3565
0,1700,0,5000,3165,3565
0,2000,0,5000,3170,3565
0,2100,0,5000,3175,3565
0,2300,0,5000,3180,3565
0,1600,0,5000,3185,3565
0,1900,0,5000,3190,3565
0,1700,0,5000,3195,3565
0,2000,0,5000,3200,3565
0,1800,0,5000,3205,3565
0,2100,0,5000,3210,3565
0,2000,0,5000,3215,3565
0,1900,0,5000,3220,3565
0,2000,0,5000,3225,3565
0,1900,0,5000,3230,3565
0,2100,0,5000,3235,3565
0,110,0,5000,3000,3560
0,800,0,5000,3005,3560
0,1400,0,5000,3010,3560
0,1000,0,5000,3015,3560
0,1200,0,5000,3040,3560
0,800,0,5000,3045,3560
0,1500,0,5000,3050,3560
0,400,0,5000,3055,3560
0,600,0,5000,3060,3560
0,1300,0,5000,3065,3560
0,1900,0,5000,3070,3560
0,1800,0,5000,3075,3560
0,1800,0,5000,3080,3560
0,2000,0,5000,3085,3560
0,1700,0,5000,3090,3560
0,1600,0,5000,3095,3560
0,1800,0,5000,3100,3560
0,1300,0,5000,3105,3560
0,1300,0,5000,3110,3560
0,1100,0,5000,3115,3560
0,2100,0,5000,3120,3560
0,2300,0,5000,3125,3560
0,2300,0,5000,3130,3560
0,2100,0,5000,3135,3560
0,2200,0,5000,3140,3560
0,1400,0,5000,3145,3560
0,1200,0,5000,3160,3560
0,1700,0,5000,3165,3560
0,1700,0,5000,3170,3560
0,1800,0,5000,3175,3560
0,1800,0,5000,3180,3560
0,1800,0,5000,3185,3560
0,1700,0,5000,3190,3560
